ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
101	1	1	3	0.000000	42.000000	42.000000	0.000000	0.000000	0	0	0
102	676	2	3	0.000000	88.223373	88.223373	0.000000	0.000000	0	0	0
103	625	3	1	0.000000	76.049600	76.049600	0.000000	0.000000	0	0	0
104	31502	1	1	0.000000	12.540696	12.540696	0.000000	0.000000	0	0	0
105	3	1	2	0.000000	31.666667	31.666667	0.000000	0.000000	0	0	0
106	17	1	3	0.000000	125.705882	125.705882	0.000000	0.000000	0	0	0
107	2	2	1	0.000000	99.500000	99.500000	0.000000	0.000000	0	0	0
108	2	2	1	0.000000	27.500000	27.500000	0.000000	0.000000	0	0	0
109	8310	2	1	0.000000	12.485560	12.485560	0.000000	0.000000	0	0	0
110	28	1	1	0.000000	10.785714	10.785714	0.000000	0.000000	0	0	0
111	5454	2	2	0.000000	12.579208	12.579208	0.000000	0.000000	0	0	0
112	27	1	1	0.000000	12.481481	12.481481	0.000000	0.000000	0	0	0
113	1725	1	2	0.000000	12.492174	12.492174	0.000000	0.000000	0	0	0
114	2	1	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
115	1	1	4	0.000000	61.000000	61.000000	0.000000	0.000000	0	0	0
116	6	3	2	0.000000	70.833333	70.833333	0.000000	0.000000	0	0	0
117	1	2	1	0.000000	37.000000	37.000000	0.000000	0.000000	0	0	0
118	11	1	1	0.000000	11.636364	11.636364	0.000000	0.000000	0	0	0
119	5	3	3	0.000000	58.600000	58.600000	0.000000	0.000000	0	0	0
120	1	1	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
121	1	2	2	0.000000	42.000000	42.000000	0.000000	0.000000	0	0	0
122	1	2	1	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
123	32	1	1	0.000000	12.375000	12.375000	0.000000	0.000000	0	0	0
124	14810	1	1	0.000000	12.537002	12.537002	0.000000	0.000000	0	0	0
125	1	1	3	0.000000	52.000000	52.000000	0.000000	0.000000	0	0	0
126	1	2	4	0.000000	153.000000	153.000000	0.000000	0.000000	0	0	0
127	1	4	1	0.000000	215.000000	215.000000	0.000000	0.000000	0	0	0
128	1	3	1	0.000000	100.000000	100.000000	0.000000	0.000000	0	0	0
129	1	2	1	0.000000	55.000000	29.000000	0.000000	0.000000	0	0	0
130	20007	1	1	0.000000	12.598940	12.598940	0.000000	0.000000	0	0	0
131	1	2	2	0.000000	25.000000	25.000000	0.000000	0.000000	0	0	0
132	327	1	1	0.000000	11.633028	11.633028	0.000000	0.000000	0	0	0
133	16394	1	1	0.000000	12.573259	12.573259	0.000000	0.000000	0	0	0
134	1225	3	2	0.000000	65.325714	65.325714	0.000000	0.000000	0	0	0
135	1	2	1	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
136	4104	2	1	0.000000	12.566033	12.542641	0.000000	0.000000	0	0	0
137	16925	1	2	0.000000	12.525968	12.525968	0.000000	0.000000	0	0	0
138	3	2	2	0.000000	22.000000	22.000000	0.000000	0.000000	0	0	0
139	7005	2	1	0.000000	12.615132	12.615132	0.000000	0.000000	0	0	0
140	20135	1	2	0.000000	12.591160	12.591160	0.000000	0.000000	0	0	0
141	1	1	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	0	0
142	1	2	5	0.000000	114.000000	90.000000	0.000000	0.000000	0	0	0
143	4	2	1	0.000000	102.500000	102.500000	0.000000	0.000000	0	0	0
144	1	2	1	0.000000	29.000000	29.000000	0.000000	0.000000	0	0	0
145	9527	1	1	0.000000	12.535636	12.535636	0.000000	0.000000	0	0	0
146	11	1	2	0.000000	24.636364	24.636364	0.000000	0.000000	0	0	0
147	153	2	1	0.000000	26.450980	23.869281	0.000000	0.000000	0	0	0
148	3405	1	1	0.000000	12.585609	12.585609	0.000000	0.000000	0	0	0
149	1	2	2	0.000000	26.000000	26.000000	0.000000	0.000000	0	0	0
150	3911	1	1	0.000000	12.519560	12.519560	0.000000	0.000000	0	0	0
151	16299	1	1	0.000000	12.555924	12.555924	0.000000	0.000000	0	0	0
152	8	2	2	0.000000	28.000000	28.000000	0.000000	0.000000	0	0	0
153	3182	1	1	0.000000	12.491515	12.491515	0.000000	0.000000	0	0	0
154	26732	1	1	0.000000	12.570141	12.570141	0.000000	0.000000	0	0	0
155	5	2	2	0.000000	26.600000	26.600000	0.000000	0.000000	0	0	0
156	6022	1	1	0.000000	12.620226	12.620226	0.000000	0.000000	0	0	0
157	1100	1	1	0.000000	12.602727	12.602727	0.000000	0.000000	0	0	0
158	13120	1	1	0.000000	12.553506	12.553506	0.000000	0.000000	0	0	0
159	55	1	2	0.000000	25.909091	25.909091	0.000000	0.000000	0	0	0
160	14	1	2	0.000000	76.214286	58.642857	0.000000	0.000000	0	0	0
161	1	2	3	0.000000	101.000000	101.000000	0.000000	0.000000	0	0	0
162	1	2	3	0.000000	140.000000	140.000000	0.000000	0.000000	0	0	0
163	5	2	3	0.000000	176.200000	176.200000	0.000000	0.000000	0	0	0
164	2	4	1	0.000000	161.500000	142.000000	0.000000	0.000000	0	0	0
165	1	3	1	0.000000	101.000000	73.000000	0.000000	0.000000	0	0	0
166	13	2	1	0.000000	60.615385	60.615385	0.000000	0.000000	0	0	0
167	21	1	1	0.000000	14.428571	14.428571	0.000000	0.000000	0	0	0
168	76	1	1	0.000000	46.355263	27.526316	0.000000	0.000000	0	0	0
169	6713	1	1	0.000000	12.532698	12.532698	0.000000	0.000000	0	0	0
170	2	3	2	0.000000	35.000000	35.000000	0.000000	0.000000	0	0	0
171	5128	1	1	0.000000	12.558307	12.558307	0.000000	0.000000	0	0	0
172	23304	1	1	0.000000	12.597065	12.597065	0.000000	0.000000	0	0	0
173	1	1	2	0.000000	41.000000	28.000000	0.000000	0.000000	0	0	0
174	1	1	3	0.000000	61.000000	48.000000	0.000000	0.000000	0	0	0
175	1	1	3	0.000000	87.000000	74.000000	0.000000	0.000000	0	0	0
176	6	2	2	0.000000	95.666667	93.500000	0.000000	0.000000	0	0	0
177	1	2	1	0.000000	82.000000	82.000000	0.000000	0.000000	0	0	0
178	1	2	1	0.000000	67.000000	67.000000	0.000000	0.000000	0	0	0
179	2	2	1	0.000000	47.500000	47.500000	0.000000	0.000000	0	0	0
180	1	2	1	0.000000	33.000000	33.000000	0.000000	0.000000	0	0	0
181	36	1	1	0.000000	13.916667	13.916667	0.000000	0.000000	0	0	0
182	1	1	4	0.000000	163.000000	163.000000	0.000000	0.000000	0	0	0
183	1	1	3	0.000000	199.000000	199.000000	0.000000	0.000000	0	0	0
184	1	4	2	0.000000	183.000000	90.000000	0.000000	0.000000	0	0	0
